时间,category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
北京,value,2678.82,3161.66,3707.96,4315,5007.21,6033.21,6969.52,8117.78,9846.81,11115,12153.03,14113.58,16251.93,17879.4,19800.81,21330.83,23014.59,25669.13,28014.94
天津,value,1500.95,1701.88,1919.09,2150.76,2578.03,3110.97,3905.64,4462.74,5252.76,6719.01,7521.85,9224.46,11307.28,12893.88,14442.01,15726.93,16538.19,17885.39,18549.19
上海,value,4188.73,4771.17,5210.12,5741.03,6694.23,8072.83,9247.66,10572.24,12494.01,14069.86,15046.45,17165.98,19195.69,20181.72,21818.15,23567.7,25123.45,28178.65,30632.99
重庆,value,1663.2,1791,1976.86,2232.86,2555.72,3034.58,3467.72,3907.23,4676.13,5793.66,6530.01,7925.58,10011.37,11409.6,12783.26,14262.6,15717.27,17740.59,19424.73
